Synset('air_passage.n.01')	air_passage
Synset('air_sac.n.02')	air_sac
Synset('air_sac.n.03')	air_sac
Synset('air.n.01')	air
Synset('airbrake.n.02')	airbrake
Synset('aircraft_carrier.n.01')	aircraft_carrier
Synset('aircrew.n.01')	aircrew
Synset('airdock.n.01')	airdock
Synset('airline.n.02')	airline
Synset('airliner.n.01')	airliner
Synset('airplane_propeller.n.01')	airplane_propeller
Synset('airport.n.01')	airport
Synset('airship.n.01')	airship
Synset('airstrip.n.01')	airstrip
Synset('aix.n.01')	Aix
Synset('aizoaceae.n.01')	Aizoaceae
Synset('ajaia.n.01')	Ajaia
Synset('ajuga.n.01')	Ajuga
Synset('akee.n.01')	akee
Synset('akeridae.n.01')	Akeridae
Synset('ala.n.02')	ala
Synset('alabama.n.02')	Alabama
Synset('alaska_king_crab.n.01')	Alaska_king_crab
Synset('alauda.n.01')	Alauda
Synset('albacore.n.01')	albacore
Synset('albacore.n.02')	albacore
Synset('albanian.n.01')	Albanian
Synset('albatross.n.02')	albatross
Synset('albizzia.n.01')	albizzia
Synset('albuca.n.01')	albuca
Synset('albugo.n.01')	Albugo
Synset('albula.n.01')	Albula
Synset('albulidae.n.01')	Albulidae
Synset('alca.n.01')	Alca
Synset('alcea.n.01')	Alcea
Synset('alcedo.n.01')	Alcedo
Synset('alces.n.01')	Alces
Synset('alcidae.n.01')	Alcidae
Synset('alder.n.01')	alder
Synset('alder.n.02')	alder
Synset('alderfly.n.01')	alderfly
Synset('alectis.n.01')	Alectis
Synset('alectoria.n.01')	Alectoria
Synset('alectoris.n.01')	Alectoris
Synset('alectura.n.01')	Alectura
Synset('aleph.n.01')	aleph
Synset('aletris.n.01')	Aletris
Synset('alewife.n.01')	alewife
Synset('alewife.n.02')	alewife
Synset('alexander.n.01')	Alexander
Synset('aleyrodes.n.01')	Aleyrodes
Synset('alfalfa.n.01')	alfalfa
Synset('alfalfa.n.02')	alfalfa
Synset('algarroba.n.03')	algarroba
Synset('algarroba.n.04')	algarroba
Synset('algerian_dinar.n.01')	Algerian_dinar
Synset('algerian.n.01')	Algerian
Synset('alidade.n.01')	alidade
Synset('alimentary_canal.n.01')	alimentary_canal
Synset('alisma.n.01')	Alisma
Synset('alkene.n.01')	alkene
Synset('alkyl.n.01')	alkyl
Synset('all_saints'_day.n.01')	All_Saints'_Day
Synset('allegheny_chinkapin.n.01')	Allegheny_chinkapin
Synset('allegheny_plum.n.01')	Allegheny_plum
Synset('alliance.n.03')	alliance
Synset('alliaria.n.01')	Alliaria
Synset('allied_command_atlantic.n.01')	Allied_Command_Atlantic
Synset('allied_command_europe.n.01')	Allied_Command_Europe
Synset('alligator.n.02')	alligator
Synset('allionia.n.01')	Allionia
Synset('allium.n.01')	Allium
Synset('allspice.n.01')	allspice
Synset('allspice.n.02')	allspice
Synset('allspice.n.03')	allspice
Synset('alluvial_sediment.n.01')	alluvial_sediment
Synset('ally.n.01')	ally
Synset('almond_moth.n.01')	almond_moth
Synset('almond.n.01')	almond
Synset('almond.n.02')	almond
Synset('alnus.n.01')	Alnus
Synset('alocasia.n.01')	alocasia
Synset('aloe.n.01')	aloe
Synset('alopex.n.01')	Alopex
Synset('alopius.n.01')	Alopius
Synset('alosa.n.01')	Alosa
Synset('alpaca.n.03')	alpaca
Synset('alpha.n.01')	alpha
Synset('alphabet.n.01')	alphabet
Synset('alpinia.n.01')	Alpinia
Synset('alsobia.n.01')	Alsobia
Synset('alsophila.n.01')	Alsophila
Synset('alstonia.n.01')	Alstonia
Synset('althea.n.01')	althea
Synset('alula.n.01')	alula
Synset('alum.n.01')	alum
Synset('alum.n.02')	alum
Synset('alumina.n.01')	alumina
Synset('aluminum.n.01')	aluminum
Synset('alumroot.n.01')	alumroot
Synset('alveolus.n.01')	alveolus
Synset('alyssum.n.01')	alyssum
Synset('alyssum.n.02')	Alyssum
Synset('alytes.n.01')	Alytes
Synset('amanita.n.01')	Amanita
Synset('amarelle.n.01')	amarelle
Synset('amarelle.n.02')	amarelle
Synset('amazon.n.04')	amazon
Synset('amazona.n.01')	Amazona
Synset('amberboa.n.01')	Amberboa
Synset('amboyna.n.01')	amboyna
Synset('ameba.n.01')	ameba
Synset('ameiurus.n.01')	Ameiurus
Synset('amenorrhea.n.01')	amenorrhea
Synset('american_angelica_tree.n.01')	American_angelica_tree
Synset('american_arborvitae.n.01')	American_arborvitae
Synset('american_beech.n.01')	American_beech
Synset('american_bison.n.01')	American_bison
Synset('american_black_bear.n.01')	American_black_bear
Synset('american_chameleon.n.01')	American_chameleon
Synset('american_coot.n.01')	American_coot
Synset('american_egret.n.01')	American_egret
Synset('american_elm.n.01')	American_elm
Synset('american_ginseng.n.01')	American_ginseng
Synset('american_harvest_mouse.n.01')	American_harvest_mouse
Synset('american_lady_crab.n.01')	American_lady_crab
Synset('american_lobster.n.01')	American_lobster
Synset('american_lobster.n.02')	American_lobster
Synset('american_mistletoe.n.02')	American_mistletoe
Synset('american_smelt.n.01')	American_smelt
Synset('american_standard_code_for_information_interchange.n.01')	American_Standard_Code_for_Information_Interchange
Synset('american_woodcock.n.01')	American_woodcock
Synset('american.n.03')	American
Synset('amia.n.01')	Amia
Synset('amianthum.n.01')	Amianthum
Synset('amiidae.n.01')	Amiidae
Synset('amish.n.01')	Amish
Synset('ammobium.n.01')	ammobium
Synset('ammodytes.n.01')	Ammodytes
Synset('amnion.n.01')	amnion
Synset('amniotic_fluid.n.01')	amniotic_fluid
Synset('amoebida.n.01')	Amoebida
Synset('amorpha.n.01')	amorpha
Synset('ampere.n.02')	ampere
Synset('amphibian.n.02')	amphibian
Synset('amphicarpaea.n.01')	Amphicarpaea
Synset('amphimixis.n.02')	amphimixis
Synset('amphisbaena.n.02')	Amphisbaena
Synset('amphitheater.n.01')	amphitheater
Synset('amphiuma.n.01')	amphiuma
Synset('amplifier.n.01')	amplifier
Synset('ampulla.n.01')	ampulla
Synset('amsinckia.n.01')	Amsinckia
Synset('amsonia.n.01')	Amsonia
Synset('amyotrophic_lateral_sclerosis.n.01')	amyotrophic_lateral_sclerosis
Synset('anabas.n.01')	Anabas
